"y1" "y2" "x1" "x2" "x3"
"1" 4.941516281 0.660536709 1.188179378 1.204444812 1.454922284
"2" 2.445699992 0.686435511 1.189769441 1.211086539 1.470045992
"3" 4.688932251 0.909789043 1.202897687 1.233897156 1.53517028
"4" 1.460473214 0.629968786 1.210582139 1.25560377 1.557480872
"5" 4.717007875 0.611108637 1.23156823 1.258561779 1.572142983
"6" 3.778119676 0.924904258 1.263770788 1.263051528 1.595278081
"7" 4.286995029 1.175667042 1.27036985 1.273094355 1.619887608
"8" 2.682383036 0.560595658 1.279487551 1.275085352 1.627167384
"9" 2.172353018 1.132289752 1.282850115 1.278630633 1.627100885
"10" 6.631067917 0.988300156 1.283933848 1.284891639 1.658860648
"11" 2.523630885 1.33488344 1.28677362 1.293383324 1.669920078
"12" 4.598370519 0.740466625 1.289837147 1.293532723 1.706240023
"13" 5.874315755 0.95030526 1.303585729 1.312555147 1.758192755
"14" 5.319371498 0.685610933 1.317704617 1.319790182 1.743536486
"15" 3.904012218 1.208198769 1.325541961 1.331906409 1.788825261
"16" 3.106705807 0.57762011 1.351000308 1.346874831 1.818826121
"17" 3.317617746 0.956457885 1.356344629 1.372867536 1.886797418
"18" 2.983634003 0.687612821 1.369061417 1.378615746 1.907528148
"19" 4.31108802 0.742687434 1.377840411 1.38873265 1.939350731
"20" 4.796962874 1.085840106 1.387354673 1.404999278 1.96997666
"21" 2.515179333 0.817783479 1.388609704 1.406255879 1.966117281
"22" 5.150118633 0.731957987 1.410738113 1.410247576 1.954421071
"23" 4.432724222 0.758016207 1.412253432 1.428253576 2.009254973
"24" 5.17808401 0.608517667 1.438206929 1.430815908 2.070943644
"25" 5.065234124 0.769264594 1.442669442 1.432120196 2.029227222
"26" 2.94488004 0.619480359 1.451399457 1.447778542 2.066289451
"27" 3.895952326 0.767325602 1.456042771 1.453609713 2.12378365
"28" 3.246032148 0.666147168 1.45755453 1.454243372 2.145716661
"29" 4.191855227 0.518346694 1.471785515 1.46026788 2.122930356
"30" 4.81459517 0.613337615 1.476985899 1.476894412 2.194902517
"31" 4.179598698 0.666189423 1.479421857 1.501343324 2.272747346
"32" 5.391646466 0.945151719 1.492794785 1.51393821 2.307673694
"33" 5.845829342 0.685377229 1.500108334 1.521128061 2.301807419
"34" 2.992693371 0.57420698 1.524309774 1.528513736 2.331177505
"35" 5.594719657 1.013586685 1.535180525 1.536244023 2.374234646
"36" 5.413464742 0.679505485 1.558087991 1.539643962 2.374564743
"37" 3.031647657 0.712826953 1.561452335 1.555151699 2.438515299
"38" 4.214544824 0.836732889 1.569279724 1.56465404 2.462002085
"39" 4.204938041 0.768934167 1.569681946 1.567028546 2.477250652
"40" 5.531029725 0.703262765 1.585004669 1.575020384 2.501475338
"41" 4.049364394 0.600062923 1.60277039 1.604016857 2.583080416
"42" 7.106289167 0.593226698 1.61246793 1.632838052 2.693263483
"43" 6.246099767 1.088215078 1.61470581 1.63344045 2.647584817
"44" 5.186277635 0.767924972 1.61857593 1.633605499 2.673589058
"45" 7.661181002 0.687324684 1.639945406 1.637739279 2.644367295
"46" 6.987328143 0.558012195 1.64538382 1.641844778 2.671252929
"47" 5.617151134 0.660521841 1.660012072 1.643860972 2.694856722
"48" 8.052731609 0.639999925 1.689962973 1.664450394 2.795710648
"49" 4.085482068 0.933387038 1.696859365 1.687955006 2.838148625
"50" 5.330498055 0.604594519 1.696889191 1.707975147 2.912064996
"51" 3.646275458 0.52638007 1.706243016 1.715632697 2.920865209
"52" 9.38175051 0.5421777 1.707962936 1.720629385 2.913673556
"53" 4.012519667 0.631284675 1.718309974 1.721739501 2.951863697
"54" 9.880121779 0.655428358 1.742658 1.727673315 2.971272067
"55" 8.567361847 0.554348051 1.745897415 1.746004548 3.047207481
"56" 5.773469916 0.462601883 1.759681169 1.746807255 3.048393305
"57" 5.79685954 0.565965866 1.763616348 1.747400808 3.083310636
"58" 4.972545096 0.40511142 1.781640188 1.777783592 3.163075151
