"y" "x1" "x2" "x3"
"1" 1.299672752 0.28361979 0.517771625 3.73012604
"2" 1.000777539 0.198794822 0.426296886 5.502698006
"3" -0.255075774 0.671064333 0.440524377 5.152999595
"4" 1.464588883 -0.824355494 0.598888416 2.788098894
"5" 1.975924149 -0.078276551 0.846500173 1.395551595
"6" 0.158759063 0.584100855 0.874616596 1.307267824
"7" -0.413587107 0.945527524 0.997392039 1.005236399
"8" 2.692198043 1.059101747 0.998211537 1.003586545
"9" -0.130402274 1.021128247 1.089868164 0.841883634
"10" 0.283132794 1.819696025 1.092387486 0.838004917
"11" -0.604806925 1.316567955 1.099715371 0.826874138
"12" 1.512888638 3.400980932 1.150216725 0.755858748
"13" 0.616906066 3.973164198 1.218378044 0.673652416
"14" 2.015805882 2.497142719 1.246299557 0.643806146
"15" -0.126433158 3.158461112 1.246726489 0.643365289
"16" 2.864636844 2.744915677 1.258337822 0.631546743
"17" 0.550512802 2.796644295 1.281271551 0.609140722
"18" 1.951935047 3.236085944 1.303699176 0.588362816
"19" 1.714913568 3.98267666 1.362283952 0.538846069
"20" 0.255996225 3.292742545 1.367299333 0.534900244
"21" 1.305387286 3.102391821 1.384502923 0.521689681
"22" 1.812528527 2.120227334 1.399770819 0.510371164
"23" 1.602548905 2.332297317 1.402123675 0.508659728
"24" 2.685578811 5.094687011 1.406119827 0.505772644
"25" 1.616471816 3.144456586 1.434246495 0.48612998
"26" 2.618670151 2.77037928 1.43657394 0.484556063
"27" 1.665791996 5.236294625 1.472095542 0.461453565
"28" 2.42088385 6.672434118 1.504813104 0.441605904
"29" 3.843150598 4.725839261 1.509969468 0.438594992
"30" 2.80703669 5.952550586 1.515015973 0.435677946
"31" 2.308178623 6.267603375 1.519563911 0.433073948
"32" 0.803740609 6.18156957 1.524280377 0.430398037
"33" 2.141648099 4.914638332 1.532505546 0.425790424
"34" 3.062439153 5.274842041 1.533746163 0.425101876
"35" 0.561671898 6.43988779 1.547201942 0.417739937
"36" 2.205210974 6.116854358 1.559432361 0.411213075
"37" 1.944371433 7.013197655 1.565884315 0.407831392
"38" 1.269098307 6.947308476 1.581411819 0.399861913
"39" 1.623755803 7.394655063 1.58498563 0.398060736
"40" 2.011043698 7.396258042 1.587860066 0.396620855
"41" 2.769771855 7.071910399 1.600475464 0.390392943
"42" 2.868381064 8.603040766 1.640788586 0.371445197
"43" 0.32392973 6.293187925 1.644874239 0.369602246
"44" 1.65224353 7.846567676 1.66038952 0.362727124
"45" 2.241384786 6.235894914 1.688429497 0.350779447
"46" 3.366384802 6.991685666 1.692812934 0.348965154
"47" 2.476363926 8.093415712 1.705692109 0.343715185
"48" 2.620489864 10.0292943 1.720559182 0.337800874
"49" 0.947446777 8.464275937 1.732841707 0.333029124
"50" 2.839259923 8.859702786 1.737576879 0.331216484
"51" 3.692811258 8.353890119 1.754715645 0.324777925
"52" 3.532664128 7.390113333 1.766366215 0.320507725
"53" 2.730715294 9.547444681 1.785947637 0.313518055
"54" 2.54140611 9.654403345 1.79292627 0.311082184
"55" 3.442861723 10.49502832 1.802722227 0.307710541
"56" 4.793959176 11.48801248 1.846897431 0.29316657
"57" 3.5129689 13.3837674 1.856879522 0.290023071
"58" 5.768236064 12.14113556 1.861717584 0.288517658
"59" 1.430510216 11.32786346 1.874616762 0.284560757
"60" 2.377286497 14.73441019 1.8800095 0.282930594
"61" 4.28001864 12.84773775 1.912122641 0.273507042
"62" 2.153713965 12.47260979 1.917439191 0.27199242
"63" 1.128528068 15.63471901 1.93380042 0.267409419
"64" 6.312485865 14.70075358 1.94574203 0.264137145
"65" 4.213013866 13.48251225 1.958347092 0.260747807
"66" 3.870175183 15.0702477 1.960032795 0.260299494
"67" 3.145875107 15.50031144 1.962626723 0.259611893
"68" 4.515959906 15.20349319 1.970066053 0.257654911
"69" 5.115853984 15.26218725 1.98671234 0.253355316
"70" 3.676125344 17.30656996 1.996073147 0.250984612
"71" 3.353284859 15.35877968 2.014215905 0.24648356
"72" 2.792064256 17.07096701 2.015454721 0.246180647
"73" 4.179290514 19.0477488 2.020820015 0.244875159
"74" 3.669713663 15.99701647 2.028862388 0.242937645
"75" 2.440226655 18.46162203 2.037058735 0.240986602
"76" 2.925794132 16.67575321 2.089980227 0.22893682
"77" 5.677568228 20.00990063 2.098666196 0.227045692
"78" 5.210159721 21.26432392 2.108152007 0.225007065
"79" 3.523494542 20.97563316 2.110424163 0.224522825
"80" 5.990068206 21.02215662 2.131203485 0.220165956
"81" 4.037585636 20.34495355 2.133089901 0.219776717
"82" 6.895260542 22.25425366 2.135229054 0.219336576
"83" 5.279162047 20.59638777 2.150449736 0.216242676
"84" 4.622342099 23.25541086 2.182140585 0.210007375
"85" 4.403555843 23.88064542 2.215296418 0.203768153
"86" 4.996439711 24.59246703 2.222421147 0.202463751
"87" 3.520950113 24.08409751 2.227292033 0.201579179
"88" 6.224923267 24.92339295 2.229367089 0.201204101
"89" 5.443131664 24.96588784 2.24123711 0.199078514
"90" 5.146866463 24.98735702 2.245195845 0.198377101
"91" 5.134154596 23.7924272 2.245935011 0.198246546
"92" 2.725702878 24.99115228 2.259824508 0.19581708
"93" 8.014046228 25.67735061 2.260167618 0.195757632
"94" 5.410225659 27.10487528 2.270119023 0.194045128
"95" 5.336793663 25.69648426 2.276074744 0.193030956
"96" 3.93428749 26.75786675 2.284557166 0.191600192
"97" 4.798575331 27.65978992 2.290670842 0.190578816
"98" 3.67293909 27.91779509 2.294023519 0.190022168
"99" 4.025945923 26.8141917 2.298251884 0.189323598
"100" 5.191944686 28.57484068 2.301909705 0.188722392
"101" 4.163993451 30.49762902 2.332128767 0.183863257
"102" 4.346440772 28.02256761 2.334576505 0.183477908
"103" 5.608940889 29.89988189 2.339595664 0.182691518
"104" 5.83272698 32.08106095 2.345076621 0.181838536
"105" 4.486969219 29.28824983 2.350611471 0.180983215
"106" 5.820480877 32.67245424 2.366594375 0.178546912
"107" 6.154297681 32.27762797 2.399375936 0.173701433
"108" 7.260199755 32.79905279 2.408453681 0.172394499
"109" 4.713865838 33.18339395 2.424378614 0.170137133
"110" 4.612623856 34.65298738 2.442871608 0.167570944
"111" 7.063239917 34.65719756 2.447644803 0.166918015
"112" 7.064816276 35.61299003 2.448430882 0.166810853
"113" 5.85399283 37.70432218 2.453724404 0.166091893
"114" 7.143252226 36.15016313 2.455441833 0.165859632
"115" 3.856819042 37.25809753 2.467471098 0.164246397
"116" 7.689171885 36.84475056 2.470833065 0.163799734
"117" 5.087710903 37.48809339 2.485827153 0.161829669
"118" 6.65955516 38.73176416 2.486486043 0.161743914
"119" 6.522366154 39.67362032 2.487470205 0.161615952
"120" 6.361774541 38.66631152 2.489154469 0.161397314
"121" 6.567529037 37.74463553 2.495820855 0.160536275
"122" 6.924844779 39.32652579 2.504246026 0.15945789
"123" 5.428308918 40.76351927 2.516186135 0.157948123
"124" 6.305427066 40.29463017 2.516748308 0.157877569
"125" 5.705997852 39.50832311 2.536580255 0.155418526
"126" 6.318765015 40.9321971 2.540155433 0.154981342
"127" 7.250305937 40.40511165 2.54207671 0.154747163
"128" 5.573069835 42.28428378 2.547823719 0.154049839
"129" 7.933979068 44.28941106 2.565544755 0.151929046
"130" 7.14800399 41.6555142 2.566461207 0.151820561
"131" 7.967749026 43.65179216 2.577897406 0.150476521
"132" 7.640139165 43.80359297 2.585705725 0.149569074
"133" 7.602714841 45.41924464 2.59348254 0.148673424
"134" 7.439946526 44.35613513 2.599667359 0.147966853
"135" 7.359629434 49.09585902 2.631773503 0.144378651
"136" 8.455702766 48.8434728 2.631833851 0.14437203
"137" 4.950918108 48.65924792 2.649032885 0.142503424
"138" 7.91668204 50.85453522 2.65307444 0.142069591
"139" 8.481126614 49.86371665 2.654815438 0.141883316
"140" 7.195406065 52.0348994 2.664372618 0.140867263
"141" 4.838970636 49.66884773 2.675369279 0.13971162
"142" 6.711969905 51.40498608 2.678142793 0.139422396
"143" 6.275602521 52.67074858 2.700229191 0.137150926
"144" 6.398217504 55.37193709 2.709233005 0.136240831
"145" 8.746300402 55.3381072 2.715026915 0.135659972
"146" 7.619415904 57.03168531 2.734465552 0.133738081
"147" 8.077102853 58.80265954 2.757294371 0.131532699
"148" 6.124099473 58.06942276 2.757811638 0.131483362
"149" 9.167337178 57.18316428 2.766992301 0.130612306
"150" 7.775623468 59.07487294 2.76966063 0.13036076
"151" 9.834823151 58.32290385 2.779749618 0.129416199
